id,title,content,pub_date,source_url,category
cfefebde59c99258cbd45f6b55cea7902ceedf22dc886f5ec8177c34769d0286,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",NA,19-04-2023,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,Others
4247529eb42d15ecf54c386c1277ee7bfa380199e898dec599b5f5dd0d9b2dd4,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,NA,08-10-2024,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,Others
bfe2766cc2b2c41b6c66ad5282f48bc30ebc75d2d6b80956f31922816b7ba2eb,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"• Fox-Dominion trial delay 'is not unusual,' judge says • Fox News' defamation battle isn't stopping Trump's election lies",17-04-2023,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,Others
9caf1fca7ffc0378cb0d7375a5ec9d76dc926983091fcb5fc083e43134b388ad,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,19-04-2023,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,Others
10cd4eff93d74b29b02848805f18a87c51eb96aed0ce03a298ccf943aff1f948,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",18-04-2023,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,Others
fd372104ea51d79429ae7b0f0a19c5aff9a2b59227ad2f356596199532fe71af,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump • Opinion: For the GOP to win, it must ditch Trump • Chris Christie mulling 2024 White House bid • Analysis: The fire next time has begun burning in Tennessee",18-04-2023,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,Others
b73ebca6dfe42a292424df03c98db094b652f958cf794eea31e6eb6effd11a26,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks • 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",19-04-2023,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,Others
c8b9585799e14ce2a81416eff73d4be16b00dd237cb9792045d7e93427168a56,Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.",18-04-2023,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,Others
898adf9adf42f36aa690a1385990899324bba1d0d2778edf992bde9a92e85bef,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,18-04-2023,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,Others
612d1cafae8f40b0a85b41f234ead35d1006c69baae5214353c4110d066946bb,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",18-04-2023,https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,Others
83763e83fb3c65b738bbd06070cfc5f9b35d6383e94754b73abb648cd6efb7fa,Jamie Foxx remains hospitalized nearly a week after 'medical complication',"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.",18-04-2023,https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,Others
1e63b36da2c88a346462f2b4c103a887fa376a3a7144b5824e88fb7cc958901f,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",19-04-2023,https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,Others
318ce7d3634c7a019833a2820733e11df1ce9f23158545dbf1154e38f9d8d5d0,See pizza delivery guy take out suspect fleeing police,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",18-04-2023,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,Others
9815604ad90995d09a42fd3a2aec94a5411ad9018ffbfd3a1e59055bfd8dd030,Netflix is winding down its DVD business after 25 years,Netflix is officially winding down the business that helped make it a household name.,18-04-2023,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,Others
3d41c37f61559a1c4a0aab9ae06cf28123748af53c2c6e9cfdc9b98f05dabff4,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.",18-04-2023,https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,Others
90008913fa4268f9457f4f21658d2b464ee5262ae5ab3f0ea3edab39bcbba9fc,"Eating too much of these foods is driving the rise in type 2 diabetes, study says","Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.",17-04-2023,https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,Others
ec6aca41bd904330f0b74f1c9e4d680795729b0f69fcd20b0c7aa0ec1b53291a,ADHD medication abuse in schools is a 'wake-up call',"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.",25-04-2023,https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,Others
ba43004abadba182df09698803f53203e125752a246da540b725a9b37907e37c,Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,18-04-2023,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,Others
b5b3943ee8f776cb6acdf3816b4e44b993d11bd7199395e943a83cc834fb60db,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.",18-04-2023,https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Others
e5a953ff2b1f5379b0a1ff59f35c61c38a3f6bf9a2ff52d0adcbe240337fa9ae,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow • Putin visits Russian troops at military headquarters in Kherson • Watch moment WSJ journalist appears in Russian court,08-10-2024,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,Others
bb2836b3ffc4210e18083e6fe0fc922aa0388cb9f14f3029da00229d3b646df1,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,18-04-2023,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Others
d576596a095b31bca2ea8113717d7d6d9db96799dca1d4052a72b0963dab1793,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,18-04-2023,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Others
